adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,,[],1036906,hi,Kadaknath,"All hell breaks loose when two separate guests coming for completely different purposes accidentally interchange their visiting time. The loving father has invited a royal family whom he has not seen before for the prospect of marrying off his dark-skinned daughter. His stay-at-home brother-in-law has posted a YouTube video inviting anyone who wants to buy their special-breed black chicken. The royal family is expected in the morning but they delay their arrival to show-off, and the chicken buyers show up in the morning to crack the deal early. Confusion becomes an understatement when the chicken buyers are assumed to be the groom and afterwards the royal family as cheap bird lovers.",0.6,/pZRDcwjGhXsCD2pWrMBwglyfIl.jpg,2022-04-08,Kadaknath,False,0.0,0
False,,[],1012829,hi,Mahakavi Kalidas,"A naive Sanskrit poet, shunned for falling in love with a low-caste Indian woman, faces challenges after entering into a competition with a princess.",0.6,,1942-12-25,Mahakavi Kalidas,False,0.0,0
False,,[],1010296,hi,Banjarin,"Banjarin is a 1960 hindi film drected by Jashawant Jhaweri and produced by Ratan. The film stars Manhar Desai, Lalita Kumari and Kanchan Kamini in the lead roles. Music of the film was composed by Pardeshi.",0.6,/u4utVgXoCZgyv6pP1neBd0wuUHq.jpg,1960-07-26,Banjarin,False,0.0,0
False,,[28],993011,hi,Champakali,A kind beauty gets brutally assaulted by the bandit she is trying to protect her village from and decides to come back and bring him down for good.,0.626,/7BtVJ3HtyQrpwBT7t8qiYTQqyQq.jpg,,Champakali,False,0.0,0
False,,[36],989407,hi,Sarfarosh,A Bollywood film.,0.6,,1964-01-01,Sarfarosh,False,0.0,0
False,,[],985629,hi,Do Ajnabee,"Do Ajnabee is an upcoming Indian Bollywood film written and directed by Sanjeev Kumar Rajput While the producer of the film is Anu Mitra. Arya Babbar, Aman Verma, Anu Mitra will be seen in the lead role of the film.",1.059,,2023-11-24,Do Ajnabee,False,0.0,0
False,/oWPNxQVN2eD0ye5braDc2Eapohq.jpg,[],972529,hi,Badboli Bhavna,Life can be difficult if your partner is a social media influencer and the story of Badboli Bhavna revolves around that. The film produced by India Lifestyle Network and directed by Pranjal Dua revolves around the life of Bhavna a budding social media influencer (Apoorva) and her introvert husband Sankalp (Ankush) who are in a constant struggle of striking the perfect balance between their personal and digital lives and keeping them separate.,1.4,/jHNqBe1t6RnpKvBVk9K9e5o0xu4.jpg,2022-05-05,Badboli Bhavna,False,0.0,0
False,,[18],969781,hi,Amar Prem,"Amar Prem is a movie directed by N.M. Kelkar featuring Madhubala, Alka Rani.",0.6,/eK5hkJ5ChKpLmwgIZwnISuJleVS.jpg,1948-01-01,Amar Prem,False,0.0,0
False,,[18],968788,hi,Pyar,"Pyar is a movie directed by V.M. Vyas featuring Raj Kapoor, Nargis.",1.127,/lKkKlreJ9MqfprcllkeWJEMNxhq.jpg,1950-12-31,Pyar,False,0.0,0
False,,[18],968402,hi,Mera Desh Mera Dharam,An idealistic son of an army officer rises against atrocities of the army and get his nation much needed freedom.,0.6,/nVHCj2yRh9NJOZpd6SO5QUr4rmJ.jpg,1973-01-05,Mera Desh Mera Dharam,False,0.0,0
False,,[],963278,hi,Sher-e-Arab,,1.4,,1930-07-18,The Arabian Knight,False,0.0,0
False,,"[80, 18]",925268,hi,Chhote Sarkar,Brothers Moti and Raja share a joint household until Moti's wife gets Raja thrown out.,1.126,/qTwImx6og73Kax97drq10UnH34c.jpg,1974-01-01,Chhote Sarkar,False,0.0,0
False,,"[18, 10749]",911384,hi,Aaja Sanam,"Dr. Satish travels from the big city to a small village, where he can serve the poor who cannot afford to go to the city for medical treatment. Once in the village, he meets with Shanti, who lives with her dad, Radhekiran, a watchman. Both Shanti and Satish fall in love, and exchange vows to be married. Radhekiran has an accident, and dies, leaving Shanti to re-locate, without notifying Satish. Satish is devastated at losing Shanti, and tries to locate her, to no avail. His parents want him to marry Kamini, and he agrees to do so. It is then he comes across Shanti, and he is shocked to see that Shanti has given birth to baby-boy, but will not disclose who the father is.",1.157,,1968-01-10,Aaja Sanam,False,6.0,1
False,,[],892529,hi,आ भी जा ओ पिया,"When a city-educated Kaushal owns his own nursery in a picturesque Jharkhand village meets Kalpana, a city girl belonging to an army family is on a research tour with her mother and driver. Feelings develop between the youngsters but practical circumstances force them to rethink if they are actually made for each other.",0.91,/maxUWRJCBXYOGkPMf8sxvKd1mRt.jpg,2022-09-07,Aa Bhi Ja O Piya,False,0.0,0
False,,[],888839,hi,Jumma Chumma In London,,1.126,/y7HKUWokYOYYRwoY61ZTzoDvMRu.jpg,1991-01-01,Jumma Chumma In London,False,0.0,0
False,,[18],885296,hi,Shoebox,Mampu watches her father struggling to keep his single-screen theatre alive - as her hometown Allahabad acquires a new name and starts losing traces of its past.,1.148,/huBB6WOmccl0XAQu9ERMXvKCA6u.jpg,2021-11-04,Shoebox,False,0.0,0
False,,[],867801,hi,Krishna - Makhan Chor,"Krishna - Makhan Chor shows the infant Krishna growing up in Gokul under the love and care of his foster parents, Nand-Lal and Yashoda, to become the popular, mischievous but lovable 'KANHA' of Gokul.",1.4,/3CVmpitKJJLhJ8n4P674jlR3vFe.jpg,,Krishna - Makhan Chor,False,0.0,0
False,,[18],862026,hi,Anokha Bandhan,"A woman takes care of a young boy as her own son, and the challenges that follow.",0.876,/hX949zPSPOrkKFHQRdrK2O3JgXG.jpg,1982-12-14,Anokha Bandhan,False,0.0,0
False,,"[18, 10749]",857481,hi,Bhairavi,Ragini is a blind but talented young woman well-versed in all household chores and has a golden voice. Her mother is anxious to get her married. Rajan Swamy enters her life and they fall in love and soon get married. Rajan goes out of town. Weeks pass by and Rajan does not return. Ragini finds out that her bank account has been cleaned out.,0.626,,1996-05-31,Bhairavi,False,0.0,0
False,,"[80, 9648, 53]",855625,hi,The Pickup Artist,The curious case of missing girls investigated by a maniac cop.,1.166,/t64zif1el7YpWuEPzDvW781y4EJ.jpg,2019-04-10,The Pickup Artist,False,6.0,1
